algorithm,speed_mu,speed_sigma,bw_channel,trace_len,tot_EN,size_chunk,size_file,tot_user,tau,avg_hit,avg_miss,avg_PoF,avg_num_feedback,tau_begin,tau_decay_step,tau_end,finish_code_list,overflow
distributed,18,2.25,100,300,50,64,40000,100,,12.699999999999989,612.2999999999997,1.0000000000000009,,,,,,0.0
distributed,19,2.375,100,300,50,64,40000,100,,13.29999999999999,611.7000000000003,1.0000000000000009,,,,,,0.0
distributed,20,2.5,100,300,50,64,40000,100,,13.499999999999995,611.5,1.0000000000000009,,,,,,0.0
distributed,21,2.625,100,300,50,64,40000,100,,13.79,611.2100000000003,1.0000000000000009,,,,,,0.0
distributed,22,2.75,100,300,50,64,40000,100,,15.060000000000004,609.9400000000004,1.0000000000000009,,,,,,0.0
distributed,23,2.875,100,300,50,64,40000,100,,15.840000000000005,609.1600000000002,1.0000000000000009,,,,,,0.0
distributed,24,3.0,100,300,50,64,40000,100,,16.84,608.1600000000002,1.0000000000000009,,,,,,0.0
distributed,25,3.125,100,300,50,64,40000,100,,18.130000000000013,606.8700000000001,1.0000000000000009,,,,,,0.0
distributed,26,3.25,100,300,50,64,40000,100,,19.630000000000013,605.3699999999999,1.0000000000000009,,,,,,0.0
distributed,27,3.375,100,300,50,64,40000,100,,22.06000000000001,602.9400000000003,1.0000000000000009,,,,,,0.0
distributed,28,3.5,100,300,50,64,40000,100,,24.489999999999995,600.5100000000002,1.0000000000000009,,,,,,0.0
distributed,29,3.625,100,300,50,64,40000,100,,25.770000000000003,599.2299999999998,1.0000000000000009,,,,,,0.0
distributed,30,3.75,100,300,50,64,40000,100,,31.45,593.55,1.0000000000000009,,,,,,0.0
distributed,31,3.875,100,300,50,64,40000,100,,34.51000000000001,590.49,1.0000000000000009,,,,,,0.0
distributed,32,4.0,100,300,50,64,40000,100,,38.03,586.9699999999998,1.0000000000000009,,,,,,0.0
distributed,33,4.125,100,300,50,64,40000,100,,52.50000000000002,572.4999999999998,1.0000000000000009,,,,,,0.0
distributed,15,1.875,100,300,50,64,40000,100,,58.31999999999997,566.6799999999996,5.860000000000013,,,,,,5.0
distributed,16,2.0,100,300,50,64,40000,100,,61.22999999999997,563.7699999999996,5.860000000000013,,,,,,5.0
distributed,17,2.125,100,300,50,64,40000,100,,64.76999999999998,560.23,5.860000000000013,,,,,,5.0
distributed,18,2.25,100,300,50,64,40000,100,,67.35999999999997,557.6399999999999,5.860000000000013,,,,,,5.0
distributed,19,2.375,100,300,50,64,40000,100,,70.41,554.59,5.860000000000013,,,,,,5.0
distributed,20,2.5,100,300,50,64,40000,100,,75.30000000000005,549.7,5.860000000000013,,,,,,5.0
distributed,21,2.625,100,300,50,64,40000,100,,77.77000000000005,547.2300000000001,5.860000000000013,,,,,,5.0
distributed,22,2.75,100,300,50,64,40000,100,,84.47999999999998,540.5200000000002,5.860000000000013,,,,,,5.0
distributed,23,2.875,100,300,50,64,40000,100,,88.83000000000001,536.1699999999998,5.860000000000013,,,,,,5.0
